Section,Role,Channel,Title,Test Data,Preconditions,Steps,Expected Result,Platform,TestMethod,Type,P,References,Release version,QA Responsibility
Scheduled Jobs > Dashboard & Statistics,Admin,Web,Verify dashboard loads with correct statistics cards when jobs exist,At least 1 scheduled job,User is logged in as admin / at least 1 scheduled job exists,1. Navigate to the Scheduled Jobs dashboard page. 2. Wait for the page to fully load. 3. Observe the stats cards section at the top.,Dashboard loads with three stats cards: Total Schedulers / Success Rate / Failure Logs. All values match backend data.,Web,Manual,Smoke Test,P0,Dashboard,,
Scheduled Jobs > Dashboard & Statistics,Admin,Web,Verify dashboard stats refresh accurately after a job run completes,A job run currently PROCESSING,User is on the dashboard / a job run is currently PROCESSING,1. Note current stats values. 2. Wait for job run to complete. 3. Refresh dashboard. 4. Observe stats cards.,Stats update to reflect latest run. Success Rate recalculates. Failure Logs increments if run failed.,Web,Manual,Sanity Test,P1,Dashboard,,
Scheduled Jobs > Dashboard & Statistics,Admin,Web,Verify dashboard navigation to Create New Scheduler,,User is logged in and on the dashboard page,1. Navigate to Scheduled Jobs dashboard. 2. Locate Create New Scheduler button. 3. Click button.,User navigated to Create New Scheduler wizard Step 1. Form is empty.,Web,Manual,Sanity Test,P1,Dashboard,,
Scheduled Jobs > Dashboard & Statistics,Admin,Web,Verify dashboard returns error state when statistics API fails,Backend stats endpoint returning HTTP 500,User is logged in / backend stats endpoint returns 500,1. Navigate to dashboard. 2. Wait for loading. 3. Observe stats cards.,Dashboard displays fallback state (-- or N/A) in stats cards. Page does not crash.,Web,Manual,Regression Test,P2,Dashboard,,
Scheduled Jobs > Dashboard & Statistics,User,Web,Verify dashboard rejects access for unauthorized users,,User logged in with non-admin role,1. Navigate directly to Scheduled Jobs dashboard URL. 2. Observe response.,Access-denied message shown or user redirected. Dashboard data not rendered.,Web,Manual,Regression Test,P2,Dashboard,,
Scheduled Jobs > Dashboard & Statistics,Admin,Web,Verify dashboard handles zero scheduled jobs correctly,No scheduled jobs exist,User logged in as admin / no jobs exist,1. Navigate to dashboard. 2. Observe stats cards. 3. Observe job list area.,Stats: Total=0 / Rate=0% or N/A / Failures=0. Empty state message shown. No division-by-zero.,Web,Manual,Regression Test,P2,Dashboard,,
Scheduled Jobs > Dashboard & Statistics,Admin,Web,Verify dashboard handles extremely large statistics values,10000+ jobs in system,User logged in / system has 10000+ jobs,1. Navigate to dashboard. 2. Observe stats cards.,Values render without overflow or layout breakage. Numbers formatted with separators.,Web,Manual,Regression Test,P2,Dashboard,,
Scheduled Jobs > Dashboard & Statistics,Admin,Web,Verify dashboard handles Success Rate at 100% and 0% boundary,Scenario A: all success / Scenario B: all failed,Two scenarios: all runs succeeded / all runs failed,1. Set up all-success data. 2. Navigate and verify 100%. 3. Set up all-failed data. 4. Verify 0%.,Correct boundary percentages. No rounding errors or display artifacts.,Web,Manual,Regression Test,P2,Dashboard,,
Scheduled Jobs > Job List & Search,Admin,Web,Verify job list displays all scheduled jobs with correct details,At least 5 jobs with various statuses,User logged in / at least 5 jobs exist,1. Navigate to dashboard. 2. Scroll job list. 3. Verify each card shows name / description / last run / status badge.,All jobs displayed as cards with name / description / last run / status badge / delete icon.,Web,Manual,Smoke Test,P0,Job List,,
Scheduled Jobs > Job List & Search,Admin,Web,Verify search bar filters jobs by name keyword,Jobs: Morning AI Workflow / Data Cleanup / User Analytics,User on dashboard with multiple jobs,1. Locate search bar. 2. Type Morning. 3. Observe results.,Only Morning AI Workflow shown. Other jobs hidden.,Web,Manual,Smoke Test,P1,Job List,,
Scheduled Jobs > Job List & Search,Admin,Web,Verify status filter dropdown filters by selected status,Jobs with Running / Active / Failed statuses,User on dashboard with various status jobs,1. Click status filter dropdown. 2. Select Running. 3. Observe job list.,Only Running jobs displayed. Dropdown shows Running.,Web,Manual,Sanity Test,P1,Job List,,
Scheduled Jobs > Job List & Search,Admin,Web,Verify sort by Last update orders jobs correctly,Multiple jobs with different timestamps,User on dashboard,1. Locate Last update sort option. 2. Verify default order. 3. Toggle direction.,Jobs ordered most recent first by default. Toggle reverses order.,Web,Manual,Sanity Test,P2,Job List,,
Scheduled Jobs > Job List & Search,Admin,Web,Verify search returns empty state when no jobs match,,At least 3 jobs exist,1. Type zzz_nonexistent_job in search. 2. Observe job list.,Empty state message shown. No error. Clearing search restores list.,Web,Manual,Regression Test,P2,Job List,,
Scheduled Jobs > Job List & Search,Admin,Web,Verify search handles script injection safely,,User on dashboard,1. Type <script>alert(XSS)</script> in search. 2. Observe page.,Input treated as plain text. No script execution. UI not disrupted.,Web,Manual,Regression Test,P2,Job List,,
Scheduled Jobs > Job List & Search,Admin,Web,Verify combined search and filter work together,Morning AI Workflow (Running) / Email Campaign (Running) / Data Cleanup (Active),User on dashboard with specific jobs,1. Type Campaign in search. 2. Select Active filter. 3. Observe.,No results (Campaign is Running not Active). Changing to Running shows it.,Web,Manual,Regression Test,P2,Job List,,
Scheduled Jobs > Job List & Search,Admin,Web,Verify search handles special characters correctly,,User on dashboard,1. Type @#$%^&*() in search. 2. Observe. 3. Clear and type emoji. 4. Observe.,Both handled gracefully. No crashes. Empty state if no matches.,Web,Manual,Regression Test,P2,Job List,,
Scheduled Jobs > Job List & Search,Admin,Web,Verify long job names without layout breakage,Job with 200+ character name,Dashboard with long-named job,1. Navigate to dashboard. 2. Locate long-named job. 3. Observe card layout.,Name truncated with ellipsis or wraps gracefully. No layout breakage.,Web,Manual,Regression Test,P2,Job List,,
Scheduled Jobs > Create Scheduler Wizard,Admin,Web,Verify creating new scheduler with all required fields succeeds,Name: Test Morning Brief / Webhook: https://api.example.com/ai-webhook / API Key: test-key,User on Create New Scheduler wizard,1. Enter Name. 2. Enter Description. 3. Select Repeat: Weekday. 4. Set Time: 08:00. 5. Click Next. 6. Select audience. 7. Enter Webhook URL. 8. Set Timeout. 9. Enter API Key. 10. Select Action: Morning Brief Widget. 11. Select Run Time. 12. Submit.,Scheduler created. Redirected to dashboard. New job in list with Active status.,Web,Manual,Smoke Test,P0,Create Wizard,,
Scheduled Jobs > Create Scheduler Wizard,Admin,Web,Verify wizard navigates between steps using Next and Cancel,,User on Step 1 with required fields filled,1. Fill Step 1 fields. 2. Click Next. 3. Verify Step 2 loads. 4. Navigate back. 5. Verify data retained. 6. Click Cancel.,Next advances to Step 2. Back preserves data. Cancel exits without creating job.,Web,Manual,Sanity Test,P1,Create Wizard,,
Scheduled Jobs > Create Scheduler Wizard,Admin,Web,Verify Schedule Time picker accepts valid times,,User on Step 1,1. Click Schedule Time. 2. Select 14:30. 3. Verify. 4. Change to 00:00. 5. Verify.,Both times accepted and displayed in HH:MM format.,Web,Manual,Sanity Test,P1,Create Wizard,,
Scheduled Jobs > Create Scheduler Wizard,Admin,Web,Verify wizard rejects when required Name is empty,,User on Step 1,1. Leave Name empty. 2. Fill other fields. 3. Click Next.,Form does not advance. Inline validation error on Name field.,Web,Manual,Regression Test,P1,Create Wizard,,
Scheduled Jobs > Create Scheduler Wizard,Admin,Web,Verify wizard rejects invalid webhook URL format,Webhook URL: not-a-valid-url,User on AI Agentic Process section,1. Enter invalid URL. 2. Fill other fields. 3. Attempt submit.,Validation error on URL field. Form does not submit.,Web,Manual,Regression Test,P1,Create Wizard,,
Scheduled Jobs > Create Scheduler Wizard,Admin,Web,Verify wizard rejects when API Key is empty,,User on AI Agentic Process section,1. Enter valid Webhook URL. 2. Leave API Key empty. 3. Attempt submit.,Validation error on API Key field. Form does not submit.,Web,Manual,Regression Test,P2,Create Wizard,,
Scheduled Jobs > Create Scheduler Wizard,Admin,Web,Verify wizard handles Timeout at maximum (1 hour),Timeout values: 01:00:00 / 01:00:01 / 02:00:00,User on AI Agentic Process section,1. Enter 01:00:00. 2. Try 01:00:01. 3. Try 02:00:00. 4. Submit with 01:00:00.,01:00:00 accepted. Values exceeding 1 hour rejected or capped.,Web,Manual,Regression Test,P2,Create Wizard,,
Scheduled Jobs > Create Scheduler Wizard,Admin,Web,Verify wizard handles Name at max character length,255-char name / 256-char name,User on Step 1,1. Enter 255-char name. 2. Complete wizard. 3. Try 256-char name.,255 chars accepted. 256+ chars truncated or validation error.,Web,Manual,Regression Test,P2,Create Wizard,,
Scheduled Jobs > Create Scheduler Wizard,Admin,Web,Verify wizard handles Set time with past time,,User on Set Action section,1. Select Morning Brief Widget. 2. Select Set time. 3. Set time to 2 hours ago. 4. Submit.,System rejects past time or schedules next occurrence. Clear indication.,Web,Manual,Regression Test,P2,Create Wizard,,
Scheduled Jobs > Edit Scheduler > Job Configuration,Admin,Web,Verify edit loads pre-filled fields correctly,Existing job: Morning AI Workflow,Job exists with Repeat=Weekday / Time=08:00 / Webhook / API Key / Action=Morning Brief Widget,1. Click Morning AI Workflow. 2. Verify Job Configuration tab active. 3. Check all fields.,All fields pre-filled with saved values. Fields are editable.,Web,Manual,Smoke Test,P0,Edit Config,,
Scheduled Jobs > Edit Scheduler > Job Configuration,Admin,Web,Verify saving changes updates the job,,User on Job Configuration tab of existing job,1. Change Time to 09:00. 2. Change Description. 3. Click Save changes. 4. Navigate away and return.,Success message. Updated time and description persisted. Timestamp refreshed.,Web,Manual,Smoke Test,P1,Edit Config,,
Scheduled Jobs > Edit Scheduler > Job Configuration,Admin,Web,Verify tabs switch correctly,,User on detail page of existing job,1. Verify Job Configuration active. 2. Click Audience. 3. Verify loads. 4. Click History Logs. 5. Verify loads. 6. Click Job Configuration.,Each tab switches correctly. No data corruption between switches.,Web,Manual,Sanity Test,P1,Edit Config,,
Scheduled Jobs > Edit Scheduler > Job Configuration,Admin,Web,Verify save rejects when required field cleared,,User on Job Configuration with all fields populated,1. Clear Name field. 2. Click Save changes.,Save blocked. Inline validation error on Name. Job not updated.,Web,Manual,Regression Test,P1,Edit Config,,
Scheduled Jobs > Edit Scheduler > Job Configuration,Admin,Web,Verify editing deleted job shows error,,Direct URL to deleted job,1. Navigate to deleted job URL. 2. Observe response.,Job not found error page. Link to return to dashboard.,Web,Manual,Regression Test,P2,Edit Config,,
Scheduled Jobs > Edit Scheduler > Job Configuration,Admin,Web,Verify edit rejects malicious webhook URL,URL: javascript:alert(1),User on Job Configuration tab,1. Replace Webhook URL with javascript:alert(1). 2. Click Save.,URL validation error. Malicious URL rejected. Original preserved.,Web,Manual,Regression Test,P2,Edit Config,,
Scheduled Jobs > Edit Scheduler > Job Configuration,Admin,Web,Verify no-change save does not create false update,,User on Job Configuration / timestamp noted,1. Open tab without modifying. 2. Click Save changes.,Save button disabled or save succeeds without timestamp change.,Web,Manual,Regression Test,P2,Edit Config,,
Scheduled Jobs > Edit Scheduler > Job Configuration,Admin,Web,Verify concurrent edit conflict handled,Two users editing same job,Two admins have same job config open,1. User A changes time and saves. 2. User B changes description and saves.,User B receives conflict warning or last-write-wins applied. No silent data loss.,Web,Manual,Regression Test,P2,Edit Config,,
Scheduled Jobs > Edit Scheduler > Audience,Admin,Web,Verify selecting individual users updates count,,User on Audience tab / users available,1. Click Audience tab. 2. Check User A. 3. Check User B. 4. Observe count.,Both checked. Count shows 2 selected.,Web,Manual,Smoke Test,P0,Audience,,
Scheduled Jobs > Edit Scheduler > Audience,Admin,Web,Verify selecting directory groups adds members,Engineering Team (15 members),Groups exist in system,1. Search Engineering in groups. 2. Check Engineering Team. 3. Click Update Audience.,Group checked. Count reflects selection. Save succeeds.,Web,Manual,Smoke Test,P1,Audience,,
Scheduled Jobs > Edit Scheduler > Audience,Admin,Web,Verify combined individual users and groups audience,,Users and groups available,1. Select 2 users. 2. Select 1 group. 3. Click Update Audience. 4. Navigate away and return.,Audience saved. Returning shows same selections.,Web,Manual,Sanity Test,P1,Audience,,
Scheduled Jobs > Edit Scheduler > Audience,Admin,Web,Verify Update Audience rejects zero selection,,Audience tab / 0 selected,1. Ensure no checkboxes checked. 2. Click Update Audience.,Button disabled or validation error. Not saved as empty.,Web,Manual,Regression Test,P2,Audience,,
Scheduled Jobs > Edit Scheduler > Audience,Admin,Web,Verify user search returns no results for non-existent name,,User in Individual Users section,1. Type zzz_fakeuserXYZ in search. 2. Observe.,Empty state message. No error. Clearing restores list.,Web,Manual,Regression Test,P2,Audience,,
