"Section","Role","Channel","Title","Test Data","Preconditions","Steps","Expected Result","Platform","TestMethod","Type","P","References","Release version","QA Responsibility"
"Agentic > Scheduled Jobs > Dashboard","Admin","Web","Check scheduled jobs list should be displayed on Dashboard page","","User is logged in to EkoAI Console with admin access","1. Navigate to EkoAI Console
2. Click Scheduled Jobs menu
3. Observe the dashboard page","1. Dashboard page loads successfully
2. Job list displays with columns: name / status / schedule / last run / next run
3. Each job shows enable/disable toggle","Web","Manual","Smoke Test","P1","Dashboard UI","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Dashboard","Admin","Web","Check job details page should open when clicking on a job row","","User is logged in to EkoAI Console with admin access","1. Navigate to Dashboard
2. Click on any scheduled job row in the list","1. Page navigates to Job Configuration page
2. Full job details are displayed including name / schedule / endpoint","Web","Manual","Smoke Test","P1","Dashboard UI","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Dashboard","Admin","Web","Check job list should be filtered correctly when selecting status from dropdown","","User is logged in to EkoAI Console with admin access","1. Open Dashboard with multiple jobs (enabled and disabled)
2. Click on the Menu List dropdown
3. Select a filter option","1. Dropdown shows available filter options
2. Job list updates to show only matching jobs
3. Non-matching jobs are hidden","Web","Manual","Sanity Test","P2","Dashboard Filter","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Dashboard","Admin","Web","Check empty state should be shown when no scheduled jobs exist","","User is logged in to EkoAI Console with admin access","1. Navigate to Dashboard when no jobs have been created
2. Observe the page content","1. Empty state illustration or message is displayed
2. Guidance text suggests creating a new job
3. Create button is accessible","Web","Manual","Regression Test","P1","Dashboard UI","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Dashboard","Admin","Web","Check error state should be displayed when Dashboard data fails to load","","User is logged in to EkoAI Console with admin access","1. Navigate to Dashboard while backend is unavailable
2. Observe the page content","1. Error message is displayed indicating data load failure
2. Retry option or guidance is shown
3. Page does not crash or show blank content","Web","Manual","Regression Test","P2","Dashboard Error","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Dashboard","Admin","Web","Check Dashboard should handle 20+ jobs with pagination or scrolling","21+ scheduled jobs exist","User is logged in to EkoAI Console with admin access","1. Create more than 20 scheduled jobs
2. Navigate to Dashboard
3. Scroll or paginate through the list","1. Menu List component shows up to 20 items per view
2. Pagination or scroll is available for overflow
3. All jobs are accessible","Web","Manual","Regression Test","P2","Dashboard Overflow","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Dashboard","Admin","Web","Check collapsed navbar should render correctly on Dashboard page","","User is logged in to EkoAI Console with admin access","1. Navigate to Dashboard
2. Observe the left navigation bar","1. Left navbar renders in Collapse variant per Figma design
2. Menu items are accessible via expand/collapse
3. Dashboard content area adjusts properly","Web","Manual","Regression Test","P2","Dashboard Layout","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Create Job","Admin","Web","Check create wizard should open when clicking Create button on Dashboard","","User is logged in to EkoAI Console with admin access","1. Navigate to Dashboard
2. Click the Create button","1. Step 1 of create wizard is displayed
2. Main container with form fields is visible
3. Job name field is focused or ready for input","Web","Manual","Smoke Test","P1","Create Wizard","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Create Job","Admin","Web","Check job should be created successfully when all required fields are filled","Valid job name / HTTPS endpoint / cron expression / audience","User is logged in to EkoAI Console with admin access","1. Open create wizard
2. Enter job name and description
3. Configure cron trigger expression
4. Enter HTTPS process endpoint and API key
5. Select MORNING_BRIEF action type
6. Add audience user IDs
7. Click Create/Save button","1. Job is created and persisted as ScheduleJob entity
2. Toast notification with Status=Success appears
3. User is redirected to job detail or dashboard","Web","Manual","Smoke Test","P1","Create Wizard","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Create Job","Admin","Web","Check cron expression should be accepted when entering valid schedule format","Cron expression: 0 8 * * 1-5","User is logged in to EkoAI Console with admin access","1. Open create wizard
2. Navigate to trigger configuration step
3. Enter cron expression '0 8 * * 1-5'","1. Cron expression is accepted without error
2. System interprets as 'weekdays at 08:00'
3. Schedule preview displays correctly","Web","Manual","Smoke Test","P1","Cron Config","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Create Job","Admin","Web","Check repeat options should be displayed when clicking repeat dropdown","","User is logged in to EkoAI Console with admin access","1. Open create wizard
2. Navigate to trigger config step
3. Click the repeat dropdown","1. Dropdown Menu List opens
2. Repeat options are shown (daily / weekly / custom cron)
3. User can select an option","Web","Manual","Sanity Test","P2","Create Wizard","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Create Job","Admin","Web","Check audience should be saved when adding user IDs and directory IDs","Valid Eko user IDs and directory IDs","User is logged in to EkoAI Console with admin access","1. Open create wizard
2. Navigate to audience step
3. Add user IDs to audience
4. Add directory IDs to audience
5. Save configuration","1. Audience configuration saved with type='Eko'
2. userIds array contains added users
3. directoriesIds array contains added directories","Web","Manual","Smoke Test","P1","Audience Config","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Create Job","Admin","Web","Check action type should be saved when selecting MORNING_BRIEF","","User is logged in to EkoAI Console with admin access","1. Open create wizard
2. Navigate to action configuration step
3. Select action type = MORNING_BRIEF
4. Configure schedule (immediate or time-triggered)","1. Action type MORNING_BRIEF is selected
2. Schedule configuration options appear
3. Action step is saved with type and schedule","Web","Manual","Smoke Test","P1","Action Config","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Create Job","Admin","Web","Check validation error should appear when submitting without required fields","","User is logged in to EkoAI Console with admin access","1. Open create wizard
2. Leave name field empty
3. Skip endpoint configuration
4. Click Create/Save button","1. Form submission is blocked
2. Validation errors shown for missing required fields (name / endpoint / audience)
3. Error indicators appear on relevant fields","Web","Manual","Regression Test","P1","Create Validation","Eko 18.0","Sharp"
"Agentic > Scheduled Jobs > Create Job","Admin","Web","Check HTTPS validation should reject when entering HTTP endpoint URL","HTTP endpoint: http://api.example.com/process","User is logged in to EkoAI Console with admin access","1. Open create wizard
2. Navigate to process endpoint step
3. Enter HTTP (non-HTTPS) endpoint URL
4. Try to proceed","1. Validation error message appears
2. Error states endpoint must use HTTPS
3. User cannot proceed until corrected","Web","Manual","Regression Test","P1","Endpoint Validation","Eko 18.0","Sharp"
