Section,Role,Channel,Title,Test Data,Preconditions,Steps,Expected Result,Platform,TestMethod,Type,P,References,Release version,QA Responsibility,TestRailID
Agentic > SharePoint KM > SharePoint KM Chat (E2E),User,Web,"Check SharePoint option should appear in ""+"" menu when SharePoint KM is enabled for the network",,User is logged in to Agentic AI chat,"1. Click the '+' button next to 'Ask me anything' input
2. Observe the dropdown menu options","1. Dropdown shows 3 options: 'Add photos & files', 'Internal Library', 'SharePoint'
2. SharePoint option has a document icon (📋)
3. All 3 options are clickable",Web,Manual,Smoke Test,P1,SharePoint KM Chat,,,C1575447
Agentic > SharePoint KM > SharePoint KM Chat (E2E),User,Web,"Check SHAREPOINT badge should appear after selecting SharePoint from ""+"" menu",,User is on Agentic AI chat,"1. Click '+' button
2. Select 'SharePoint' from dropdown
3. Observe input area","1. Green 'SHAREPOINT' badge appears below the input box
2. Badge has a document icon
3. Input placeholder still shows 'Ask me anything'",Web,Manual,Smoke Test,P1,SharePoint KM Chat,,,C1575448
Agentic > SharePoint KM > SharePoint KM Chat (E2E),User,Web,Check user should receive answer from SharePoint KM when asking a question with SHAREPOINT mode active,Question: 'What is Amity Eko Library?',User has selected SharePoint mode (badge visible),"1. Type 'What is Amity Eko Library?' in the input
2. Click send button
3. Wait for response","1. Bot returns an answer sourced from SharePoint content
2. Response includes 'SharePoint library' header section
3. Answer content is relevant to the question
4. Disclaimer 'Mity can still miss, please double check it' appears below the answer",Web,Manual,Smoke Test,P1,SharePoint KM Chat,,,C1575449
Agentic > SharePoint KM > SharePoint KM Chat (E2E),User,Web,Check 'SharePoint library' header should display with 'Expand All' button in response,,User received a SharePoint KM response with references,"1. Observe the bot response
2. Check the reference section header","1. 'SharePoint library' header is displayed with a document icon (📋)
2. 'Expand All →' button is visible on the right side of the header
3. Reference section is collapsed by default",Web,Manual,Sanity Test,P1,SharePoint KM Chat,,,C1575450
Agentic > SharePoint KM > SharePoint KM Chat (E2E),User,Web,Check 'Reading Sources' should display reference files when expanding SharePoint library section,,User received a SharePoint KM response with file references,"1. Click 'Expand All →' on the SharePoint library header
2. Observe the expanded content","1. 'Reading Sources' sub-header appears
2. Reference file(s) are listed with document icon + filename (e.g. 'Admin guide_ Library .pdf')
3. Files are clickable
4. Section can be collapsed again",Web,Manual,Smoke Test,P1,SharePoint KM Chat,,,C1575451
Agentic > SharePoint KM > SharePoint KM Chat (E2E),User,Web,Check file preview should open in OneDrive panel when clicking a reference file,,User expanded SharePoint library section and sees reference files,"1. Click on a reference file (e.g. 'Admin guide_ Library .pdf')
2. Wait for preview to load","1. A preview panel opens on the right side of the chat
2. Panel header shows 'OneDrive' label
3. File content is displayed in the preview (rendered via OneDrive iframe)
4. User can scroll through the file preview",Web,Manual,Smoke Test,P1,SharePoint KM Chat,,,C1575452
Agentic > SharePoint KM > SharePoint KM Chat (E2E),User,Web,Check file preview should display PDF content correctly in OneDrive preview panel,PDF file in SharePoint,User clicked on a PDF reference file,"1. Click a PDF reference file from Reading Sources
2. Wait for OneDrive preview to load
3. Observe the rendered content","1. PDF pages render correctly in the preview panel
2. Text is readable
3. User can scroll through multiple pages
4. No loading errors or blank pages",Web,Manual,Sanity Test,P1,SharePoint KM Chat,,,C1575453
Agentic > SharePoint KM > SharePoint KM Chat (E2E),User,Web,Check SHAREPOINT badge should persist across multiple messages in the same chat session,,User has SHAREPOINT badge active and received first response,"1. Send a second question in the same chat (e.g. follow-up question)
2. Observe the input area and response","1. SHAREPOINT badge remains visible after sending the first message
2. Second response also uses SharePoint KM as source
3. 'SharePoint library' header appears in the second response if applicable",Web,Manual,Sanity Test,P1,SharePoint KM Chat,,,C1575454
Agentic > SharePoint KM > SharePoint KM Chat (E2E),User,Web,Check follow-up question should use context from previous SharePoint KM answer,First question: 'What is Amity Eko Library?' / Follow-up: 'What are the key features?',User received first SharePoint KM answer,"1. Ask 'What is Amity Eko Library?' with SHAREPOINT mode
2. After getting response ask 'What are the key features?'
3. Observe the second response","1. Second response correctly references context from the first answer
2. Follow-up answer elaborates on key features mentioned in the first response
3. Both responses show SharePoint library references",Web,Manual,Sanity Test,P2,SharePoint KM Chat,,,C1575455
Agentic > SharePoint KM > SharePoint KM Chat (E2E),User,Web,Check response should show 'no data found' message when question has no matching SharePoint content,Question: 'ในกระบวนการผลิตมีการลดอุณหภูมิอาหารให้เหลือเท่าไหร่',User has SHAREPOINT mode active,"1. Ask a question that has no matching content in SharePoint KM
2. Wait for response","1. Bot responds with a 'not found' message such as 'ฉันไม่พบข้อมูลนี้ในฐานความรู้ของบริษัทค่ะ'
2. 'SharePoint library' header is still displayed
3. No Reading Sources or reference files shown
4. No error or crash — response is graceful",Web,Manual,Sanity Test,P1,SharePoint KM Chat,,,C1575456
