"Section","Role","Channel","Title","Test Data","Preconditions","Steps","Expected Result","Platform","TestMethod","Type","P","References","Release version","QA Responsibility","TestRailID"
"Agentic > UI","","","Verify default layout elements on Main Page","","<p>User is logged in and on the Agentic page</p>
","<ol>
<li>Open Agentic page</li>
<li>Observe the overall layout</li>
</ol>
","<ol>
<li>Left Sidebar is visible showing 'New chat' and 'Recent chats'.</li>
<li>Main Content area shows Agentic Logo and Greeting text.</li>
<li>Bottom Input area contains Text box, '+' (Attachment) button, and Send button.</li>
<li>'Build your own skills' button/link is visible.</li>
</ol>
","","Manual","Smoke Test","P1","","","","C1216272"
"Agentic > UI","","","Verify Landing Page - 'Build Your Own Skills' Card","","User is on the new chat landing page","1. Observe the 'Looking for a tailored solution?' section","1. Card contains title, description, and 'Build Your Own Skills ->' button.","","Manual","Smoke Test","P1","","","","C1216273"
"Agentic > UI > Loading","","","Verify Loading Animation (Cat Icon) while Agentic is preparing response","","User is in a chat","1. Type any message
2. Click Send
3. Observe the loading state","1. Cat icon animation is displayed while Agentic is preparing the response.
2. Animation continues until response is ready.","","Manual","Smoke Test","P1","","","","C1216404"
"Agentic > UI > Loading > Edge Case","","","Verify Loading Animation stops when user cancels request","","User is in a chat with loading state","1. Type a message and Click Send
2. While loading animation is showing, navigate away or refresh page","1. Loading animation stops.
2. No hanging loading state on page reload.","","Manual","Regression Test","P0","","","","C1216412"
"Agentic > UI > Loading > Edge Case","","","Verify Multiple Messages Loading - Only latest shows loading","","User sends messages rapidly","1. Type and send message 1
2. Immediately type and send message 2
3. Observe loading state","1. Only the latest message shows loading animation.
2. Previous messages do not show multiple loading indicators.","","Manual","Regression Test","P0","","","","C1216413"
"Agentic > UI > Loading > Error Handling","","","Verify Error Message when Agentic cannot respond within 15 seconds","","User is in a chat","1. Type a message that may take long to process
2. Click Send
3. Wait for more than 15 seconds without response","1. Error message 'Something went wrong. Please try again later.' is displayed.
2. Cat icon stops loading animation.","","Manual","Smoke Test","P1","","","","C1216405"
"Agentic > UI > Loading > Error Handling","","","Verify User Can see error message with >15s thinking for normal question","Question : What is 2+2?
Network : Slow 3G or Block API","User is on chat page
DevTools available","1. User is in chat page
2. Open DevTools Network
3. Set Network to Slow 3G or block API
4. Enter normal question into the chat input
5. Click Send button
6. Wait for 15 seconds","System stops waiting at 15s
Error message displayed
Request aborted
No 60s timeout triggered","","Manual","Smoke Test","P1","","","","C1544799"
"Agentic > UI > Loading > Error Handling","","","Verify User Can see response without timeout with under 15s thinking","Question : Hello","Backend working normally","1. User is in chat page
2. Enter normal question into the chat input
3. Click Send button","Response returned successfully
No timeout error shown
No abort triggered","","Manual","Sanity Test","P2","","","","C1544800"
"Agentic > UI > Loading > Error Handling","","","Verify User Can see backend error immediately with <<TIMEOUT_TESTING>> keyword","Keyword : <<TIMEOUT_TESTING>>","User is on chat page","1. User is in chat page
2. Enter <<TIMEOUT_TESTING>> into the chat input
3. Click Send button","Backend error displayed immediately
No 15s timeout triggered
No 60s timeout triggered","","Manual","Smoke Test","P1","","","","C1544801"
"Agentic > UI > Loading > Error Handling","","","Verify User Can see timeout rule applied with network disconnection after send","Question : What is 2+2?","User is on chat page","1. User is in chat page
2. Enter normal question into the chat input
3. Click Send button
4. Disable internet connection immediately
5. Observe the chat behavior","System handles network failure properly
Timeout rule applied
No infinite loading","","Manual","Sanity Test","P2","","","","C1544802"
