"Section","Role","Channel","Title","Test Data","Preconditions","Steps","Expected Result","Platform","TestMethod","Type","P","References","Release version","QA Responsibility"
"Agentic > SharePoint KM > ASAP Integration > Managed Resource Creation","Admin","API","Check that setting sharepointConfig.enabled=true in network-config should auto-create managed KM and SYSTEM_SHAREPOINT_KM assistant","network-config payload: {""sharepointConfig"": {""enabled"": true}} / networkId: net-001","Valid networkId exists / Admin API key configured / No existing SharePoint managed KM for this network","1. Send PATCH network-config with sharepointConfig.enabled=true for net-001
2. Query the knowledge table for networkId=net-001 and managed=true and source='sharepoint'
3. Query the assistants table for SYSTEM_SHAREPOINT_KM linked to net-001
4. Verify fulfillment record is created","1. knowledge table contains a managed=true / source='sharepoint' record for net-001
2. SYSTEM_SHAREPOINT_KM assistant is created and linked to net-001
3. Fulfillment record is present","All","Manual","Smoke Test","P0","RAG-1","agentic-sharepoint-km","QA"
"Agentic > SharePoint KM > ASAP Integration > Managed Resource Creation","Admin","API","Verify that enabling sharepointConfig on a second network should create independent managed KM without affecting the first network","networkId: net-001 (already enabled) / networkId: net-002 (new enable)","net-001 already has SharePoint managed KM / net-002 exists / Admin API key configured","1. Send PATCH network-config with sharepointConfig.enabled=true for net-002
2. Query knowledge table for net-001 managed SharePoint records
3. Query knowledge table for net-002 managed SharePoint records
4. Verify unique constraint (networkId / managed / source) holds for both","1. net-002 has its own managed KM and assistant created
2. net-001 records are unchanged
3. Unique constraint is satisfied for both networks","All","Manual","Sanity Test","P1","RAG-1","agentic-sharepoint-km","QA"
"Agentic > SharePoint KM > ASAP Integration > Managed Resource Creation","Admin","API","Verify that disabling sharepointConfig.enabled should NOT delete the managed KM or SYSTEM_SHAREPOINT_KM assistant","network-config payload: {""sharepointConfig"": {""enabled"": false}} / networkId: net-001","net-001 has existing SharePoint managed KM and assistant / Admin API key configured","1. Send PATCH network-config with sharepointConfig.enabled=false for net-001
2. Query knowledge table for net-001 managed SharePoint records
3. Query assistants table for SYSTEM_SHAREPOINT_KM linked to net-001","1. Managed KM record for net-001 still exists in knowledge table
2. SYSTEM_SHAREPOINT_KM assistant record still exists
3. No teardown or deletion is triggered","All","Manual","Sanity Test","P1","RAG-1","agentic-sharepoint-km","QA"
"Agentic > SharePoint KM > ASAP Integration > Managed Resource Creation","Admin","API","Check that attempting to create a second managed SharePoint KM for the same network should be rejected by unique constraint","Duplicate insert: networkId=net-001 / managed=true / source='sharepoint'","net-001 already has managed SharePoint KM / DB access to knowledge table","1. Attempt to directly insert a second managed=true / source='sharepoint' record for net-001 into knowledge table
2. Observe database response
3. Verify existing record is unchanged","1. Insert is rejected with a unique constraint violation error
2. Only one managed SharePoint KM record exists for net-001","All","Manual","Regression Test","P1","RAG-1","agentic-sharepoint-km","QA"
"Agentic > SharePoint KM > ASAP Integration > Managed Resource Creation","Admin","API","Check that enabling sharepointConfig with an invalid or nonexistent networkId should return an error and not create orphaned records","network-config payload: {""sharepointConfig"": {""enabled"": true}} / networkId: nonexistent-net-999","Admin API key configured / networkId net-999 does not exist","1. Send PATCH network-config with sharepointConfig.enabled=true for net-999
2. Check knowledge table for any orphaned records with networkId=net-999
3. Check assistants table","1. API returns 404 or 400 error
2. No KM records created in knowledge table
3. No assistant records created","All","Manual","Regression Test","P1","RAG-1","agentic-sharepoint-km","QA"
"Agentic > SharePoint KM > ASAP Integration > Managed Resource Creation","Admin","API","Verify that enabling sharepointConfig when a non-SharePoint managed KM already exists for the network should succeed without violating unique constraint","Existing managed KM: networkId=net-001 / managed=true / source='eko' / New: source='sharepoint'","net-001 has managed=true KM with source='eko' / Admin API key configured","1. Verify existing managed KM source='eko' record for net-001
2. Send PATCH network-config with sharepointConfig.enabled=true for net-001
3. Query knowledge table for net-001","1. SharePoint managed KM is created successfully (source='sharepoint')
2. Existing source='eko' managed KM is unaffected
3. Unique constraint (networkId / managed / source) is satisfied for both records","All","Manual","Regression Test","P2","RAG-1","agentic-sharepoint-km","QA"
"Agentic > SharePoint KM > ASAP Integration > Managed Resource Creation","Admin","API","Check that re-enabling sharepointConfig after it was previously disabled should NOT create a duplicate managed KM record","network-config flow: enabled=true → enabled=false → enabled=true / networkId: net-001","net-001 previously had SharePoint enabled then disabled / managed KM record still present","1. Confirm existing managed SharePoint KM record for net-001
2. Send PATCH network-config with sharepointConfig.enabled=true for net-001 again
3. Count managed SharePoint KM records for net-001 in knowledge table","1. Exactly one managed SharePoint KM record exists for net-001
2. No duplicate record created
3. Unique constraint not violated","All","Manual","Regression Test","P2","RAG-1","agentic-sharepoint-km","QA"
"Agentic > SharePoint KM > ASAP Integration > ETL Content Sync","Admin","API","Check that km-etl service should successfully ingest a PDF file from SharePoint into Google Discovery Engine","File: report.pdf (5MB) / SharePoint site: test-site / networkId: net-001","sharepointConfig.enabled=true for net-001 / km-etl service running / Google Discovery Engine datastore configured / SharePoint test site accessible","1. Upload report.pdf (5MB) to SharePoint test-site
2. Wait for next ETL sync cycle (or trigger manually)
3. Query Google Discovery Engine for documents with source SharePoint and networkId=net-001
4. Verify document content is searchable","1. report.pdf is indexed in Google Discovery Engine
2. Document is retrievable via search query
3. ETL sync log shows successful ingestion","All","Manual","Smoke Test","P0","RAG-2","agentic-sharepoint-km","QA"
"Agentic > SharePoint KM > ASAP Integration > ETL Content Sync","Admin","API","Verify that km-etl should ingest all supported file types (DOCX / CSV / JPEG / PNG) from SharePoint successfully","Files: doc.docx (2MB) / data.csv (1MB) / image.jpeg (3MB) / photo.png (4MB)","sharepointConfig.enabled=true / km-etl running / Google Discovery Engine configured / All 4 test files uploaded to SharePoint","1. Upload all 4 test files to SharePoint test-site
2. Trigger ETL sync
3. Query Discovery Engine for each file type
4. Verify each file is indexed","1. All 4 files are indexed in Discovery Engine
2. Each file type is correctly processed
3. ETL log shows no errors for supported types","All","Manual","Smoke Test","P0","RAG-2","agentic-sharepoint-km","QA"
"Agentic > SharePoint KM > ASAP Integration > ETL Content Sync","Admin","API","Verify that ETL sync should run automatically every 15 minutes via Azure Logic App without manual trigger","Azure Logic App schedule: every 15 minutes / networkId: net-001","sharepointConfig.enabled=true / Azure Logic App deployed and active / New file uploaded to SharePoint","1. Note current time T0
2. Upload a new file to SharePoint at T0
3. Wait up to 16 minutes without manually triggering ETL
4. Query Discovery Engine at T0+16min for the file","1. File appears in Discovery Engine within 15 minutes of upload
2. Azure Logic App trigger log shows scheduled execution
3. No manual trigger was required","All","Manual","Sanity Test","P1","RAG-2","agentic-sharepoint-km","QA"
"Agentic > SharePoint KM > ASAP Integration > ETL Content Sync","Admin","API","Check that a file larger than 20MB should be skipped by ETL and NOT ingested into Discovery Engine","File: large-document.pdf (25MB) / networkId: net-001","sharepointConfig.enabled=true / km-etl running / 25MB PDF file uploaded to SharePoint","1. Upload large-document.pdf (25MB) to SharePoint test-site
2. Trigger ETL sync
3. Query Discovery Engine for large-document.pdf
4. Check ETL service logs","1. large-document.pdf is NOT indexed in Discovery Engine
2. ETL log records a skip event for the file with reason '>20MB'
3. Sync cycle completes without error","All","Manual","Regression Test","P1","RAG-2","agentic-sharepoint-km","QA"
"Agentic > SharePoint KM > ASAP Integration > ETL Content Sync","Admin","API","Check that uploading an unsupported file type (PPTX) to SharePoint should be skipped by ETL without causing a sync failure","File: presentation.pptx (3MB) / networkId: net-001","sharepointConfig.enabled=true / km-etl running / presentation.pptx uploaded to SharePoint","1. Upload presentation.pptx to SharePoint test-site
2. Trigger ETL sync
3. Query Discovery Engine for presentation.pptx
4. Verify remaining supported files in same sync batch are ingested","1. presentation.pptx is NOT indexed in Discovery Engine
2. ETL sync cycle completes successfully without failure
3. Other supported files in the same batch are indexed normally","All","Manual","Regression Test","P2","RAG-2","agentic-sharepoint-km","QA"
