Section,Role,Channel,Title,Test Data,Preconditions,Steps,Expected Result,Platform,TestMethod,Type,P,References,Release version,QA Responsibility,TestRailID
EkoAI Console > Release 18.00 (Morning Brief) > Dashboard (UI),Admin,Web,Check scheduled jobs list should be displayed on Dashboard page,At least 1 scheduled job exists,Admin is logged in to EkoAI Console,"1. Navigate to EkoAI Console
2. Click Morning Brief on sidebar
3. Observe Dashboard page","1. Dashboard page loads
2. Scheduled jobs list is displayed with job name / status / next run columns
3. Each job shows correct status badge",Web,Manual,Smoke Test,P1,Dashboard,,,C1552304
EkoAI Console > Release 18.00 (Morning Brief) > Dashboard (UI),Admin,Web,Check empty state should be shown when no scheduled jobs exist on Dashboard,No scheduled jobs in the system,Admin is logged in to EkoAI Console,"1. Navigate to Morning Brief Dashboard
2. Observe the page content","1. Empty state illustration is displayed
2. Message prompts user to create first job
3. Create button is visible",Web,Manual,Smoke Test,P1,Dashboard,,,C1552305
EkoAI Console > Release 18.00 (Morning Brief) > Dashboard (UI),Admin,Web,Check job list should be filtered correctly when selecting status filter on Dashboard,Multiple jobs with different statuses (Active / Inactive),Admin is on Dashboard with multiple jobs,"1. Click status filter dropdown
2. Select Active status
3. Observe filtered results","1. Only Active jobs are displayed
2. Job count updates to match filter
3. Inactive jobs are hidden",Web,Manual,Sanity Test,P2,Dashboard,,,C1552306
EkoAI Console > Release 18.00 (Morning Brief) > Dashboard (UI),Admin,Web,Check job list should be sorted correctly when changing sort order on Dashboard,Multiple jobs with different creation dates,Admin is on Dashboard with multiple jobs,"1. Click sort dropdown
2. Select sort by Created Date descending
3. Observe list order","1. Jobs are reordered by creation date (newest first)
2. Sort indicator shows active direction",Web,Manual,Sanity Test,P2,Dashboard,,,C1552307
EkoAI Console > Release 18.00 (Morning Brief) > Dashboard (UI),Admin,Web,Check sidebar navigation should highlight Morning Brief when Dashboard is active,,Admin is logged in to EkoAI Console,"1. Navigate to Morning Brief Dashboard
2. Observe sidebar navigation state","1. Morning Brief menu item is highlighted in sidebar
2. Dashboard sub-item shows active state",Web,Manual,Regression Test,P2,Dashboard,,,C1552308
EkoAI Console > Release 18.00 (Morning Brief) > Dashboard (UI),Admin,Web,Check Dashboard should handle gracefully when API returns error loading job list,Backend returns 500 error on GET /scheduled-jobs,Admin is logged in to EkoAI Console,"1. Navigate to Morning Brief Dashboard
2. Simulate API error response
3. Observe page behavior","1. Error message is displayed to user
2. Retry option is available
3. Page does not crash or show blank content",Web,Manual,Regression Test,P1,Dashboard,,,C1552309
EkoAI Console > Release 18.00 (Morning Brief) > Dashboard (UI),Admin,Web,Check Dashboard should display correct status badge colors for each job status,Jobs with statuses: Active / Inactive / Processing,Admin is on Dashboard with jobs in various states,"1. Navigate to Morning Brief Dashboard
2. Observe status badges on each job row","1. Active jobs show green badge
2. Inactive jobs show gray badge
3. Each badge label matches job status",Web,Manual,Regression Test,P2,Dashboard,,,C1552310
EkoAI Console > Release 18.00 (Morning Brief) > Dashboard (UI),Admin,Web,Check Dashboard should load correctly when there are 100+ scheduled jobs,100+ scheduled jobs created in the system,Admin is logged in to EkoAI Console,"1. Navigate to Morning Brief Dashboard
2. Scroll through the job list
3. Observe pagination or lazy loading","1. Page loads without timeout
2. Pagination or infinite scroll is functional
3. All jobs are accessible",Web,Manual,Regression Test,P1,Dashboard,,,C1552311
EkoAI Console > Release 18.00 (Morning Brief) > Dashboard (UI),Admin,Web,Check Dashboard should update job list in real-time when a new job is created from another session,Another admin session creates a new job,Admin is on Dashboard page,"1. Keep Dashboard open
2. From another session / create a new scheduled job
3. Observe Dashboard list","1. New job appears in the list without manual refresh
2. Job shows correct initial status",Web,Manual,Regression Test,P2,Dashboard,,,C1552312
EkoAI Console > Release 18.00 (Morning Brief) > Create Scheduled Job (UI),Admin,Web,Check Create wizard should open when clicking Create button on Dashboard,,Admin is on Morning Brief Dashboard,"1. Click Create Scheduled Job button
2. Observe wizard dialog","1. Multi-step wizard opens
2. Step 1 (Job Name) is active
3. Name field is focused and empty",Web,Manual,Smoke Test,P1,Create Wizard,,,C1552313
EkoAI Console > Release 18.00 (Morning Brief) > Create Scheduled Job (UI),Admin,Web,Check job should be created successfully when all required fields are filled in wizard,Job name: Test Morning Brief / Schedule: Daily at 9 AM / Process endpoint: https://api.example.com/process / Audience: 1 user group,Admin is on Create wizard Step 1,"1. Enter job name
2. Configure daily schedule
3. Enter process endpoint URL
4. Select audience group
5. Click Create button","1. Job is created successfully
2. Success message is displayed
3. User is redirected to Dashboard
4. New job appears in job list",Web,Manual,Smoke Test,P1,Create Wizard,,,C1552314
EkoAI Console > Release 18.00 (Morning Brief) > Create Scheduled Job (UI),Admin,Web,Check schedule configuration should support iCalendar RRULE format in Create wizard,RRULE: FREQ=WEEKLY;BYDAY=MO / WE / FR;DTSTART=20260401T090000Z,Admin is on Create wizard schedule step,"1. Select custom recurrence option
2. Configure weekly schedule for Monday / Wednesday / Friday
3. Set start date and time
4. Observe preview","1. RRULE is generated correctly
2. Schedule preview shows next 3 occurrences
3. Days of week are highlighted in selector",Web,Manual,Smoke Test,P1,Create Wizard,,,C1552315
EkoAI Console > Release 18.00 (Morning Brief) > Create Scheduled Job (UI),Admin,Web,Check termination condition should be configurable when setting runUntilTimes in Create wizard,runUntilTimes: 5,Admin is on Create wizard schedule step,"1. Enable termination condition
2. Select Run Until Times option
3. Enter value of 5
4. Observe validation","1. Termination field accepts value 5
2. Preview shows job will run 5 times
3. Field validates within 1-10 range",Web,Manual,Sanity Test,P1,Create Wizard,,,C1552316
EkoAI Console > Release 18.00 (Morning Brief) > Create Scheduled Job (UI),Admin,Web,Check termination condition should be configurable when setting endDate in Create wizard,endDate: 2026-06-30,Admin is on Create wizard schedule step,"1. Enable termination condition
2. Select End Date option
3. Pick date 2026-06-30
4. Observe validation","1. Date picker accepts future date
2. Preview shows runs until end date
3. RRULE includes UNTIL parameter",Web,Manual,Sanity Test,P2,Create Wizard,,,C1552317
EkoAI Console > Release 18.00 (Morning Brief) > Create Scheduled Job (UI),Admin,Web,Check action mode selection should display IMMEDIATE and SCHEDULED options in Create wizard,,Admin is on Create wizard action step,"1. Navigate to action configuration step
2. Observe action mode options","1. IMMEDIATE option is displayed with description
2. SCHEDULED option is displayed with description
3. Default selection is IMMEDIATE",Web,Manual,Smoke Test,P1,Create Wizard,,,C1552318
EkoAI Console > Release 18.00 (Morning Brief) > Create Scheduled Job (UI),Admin,Web,Check SCHEDULED action mode should require delivery time when selected in Create wizard,,Admin is on Create wizard action step,"1. Select SCHEDULED action mode
2. Observe additional fields
3. Attempt to proceed without setting time","1. Delivery time picker appears
2. Validation error shows when time is not set
3. Cannot proceed to next step without time",Web,Manual,Smoke Test,P2,Create Wizard,,,C1552319
EkoAI Console > Release 18.00 (Morning Brief) > Create Scheduled Job (UI),Admin,Web,Check validation error should appear when job name is empty in Create wizard,Empty job name field,Admin is on Create wizard Step 1,"1. Leave job name field empty
2. Click Next or attempt to proceed
3. Observe validation","1. Validation error message appears below name field
2. Field is highlighted in red
3. User cannot proceed to next step",Web,Manual,Regression Test,P1,Create Wizard,,,C1552320
